DATE_TIME;GPS_TIME;TYPE;ERROR;LATX;LONX;LATX_INT;LONX_INT;EQU_T;STD;CO2_RAW;CO2_PHYS;H2O_RAW;H2O_PHYS;LICOR_T;LICOR_P;ATM_P;EQU_P;H2O_FLOW;LICOR_FLOW;EQU_PUMP;VENT_FLOW;COND_T;COND_ATM;COND_EQU;DRIP_1;DRIP_2;DRY_BOX_T;DECK_BOX_T;SSPS;SSPS_QC;SSJT;SSJT_QC;SSJT_COR;EQU_T_COR;OXYGEN_RAW;OXYGEN_SATURATION;OXYGEN_TEMPERATURE;OXYGEN_ADJ_muM;OXYGEN_ADJ_MLL;
13/09/2019 10:52:48;10:48:35;STD2;0;49.4757;0.1668;NaN;NaN;23.93;270.55;13964667;270.76;13198946;-0.7;26;1033.96;1030.52;-2.58;0.01;78.13;65;1.41;4.75;9.93;9.93;9.93;0;24.25;38.26;35;9;-999;9;-999;-999;-999;71.2334;-999;174.8771;3.9197;
13/09/2019 10:56:08;10:51:55;STD3;0;49.476;0.1668;49.4758;0.1667;22.79;358.98;14106259;358.3;13200404;-0.7;26.34;1033.87;1030.4;-2.38;2.38;76.51;65;0.47;4.94;9.93;9.93;9.93;0;24.25;38.16;30.907;2;19.089;0;-999;-999;210.1501;70.9914;19.0626;174.4445;3.91;
13/09/2019 11:01:29;10:57:16;ATM;0;49.476;0.1669;49.4758;0.1667;19.38;NaN;14196923;421.65;13326874;0.75;26.81;1033.86;1030.45;-2.37;3.04;97.63;65;1.42;4.69;9.93;9.93;9.93;0;24.31;38.36;30.905;2;19.04;0;-999;-999;209.6418;70.7476;19.04;173.8516;3.8967;
13/09/2019 11:03:50;10:59:37;ATM;0;49.4757;0.1668;49.4758;0.1667;19.29;NaN;14196063;421.98;13316887;0.72;27.02;1033.89;1030.57;-2.94;3.08;97.17;65;1.58;4.69;9.93;9.93;9.93;0;24.37;38.26;30.907;2;19.039;0;-999;-999;208.9321;70.767;19.04;173.894;3.8977;
13/09/2019 11:06:10;11:01:57;ATM;0;49.476;0.1669;49.4758;0.1667;19.26;NaN;14196651;422.36;13314457;0.69;27.19;1033.91;1030.6;-2.42;2.91;97.68;65;1.6;4.69;9.93;9.93;9.93;0;24.19;38.36;30.909;2;19.041;0;-999;-999;208.9849;70.9981;19.0375;174.4664;3.9105;
13/09/2019 11:08:30;11:04:17;ATM;0;49.4756;0.1668;49.4758;0.1667;19.23;NaN;14197318;422.26;13316489;0.66;27.34;1033.93;1030.61;-2.52;2.89;98.14;65;1.45;4.75;9.93;9.93;9.93;0;24.12;38.36;30.911;2;19.04;0;-999;-999;209.6756;71.0461;19.0328;174.6019;3.9135;
13/09/2019 11:10:51;11:06:38;ATM;0;49.4757;0.1669;49.4758;0.1667;19.23;NaN;14194678;422.35;13270531;0.64;27.49;1033.91;1030.59;-2.5;2.9;96.72;65;1.43;4.94;9.93;9.93;9.93;0;24.19;38.36;30.913;2;19.033;0;-999;-999;209.843;70.6326;19.03;173.6139;3.8914;
13/09/2019 11:16:37;11:12:24;EQU;0;49.4753;0.1666;49.4758;0.1667;19.21;NaN;14578112;728.66;13311784;0.64;27.8;1033.91;1030.58;-2.25;2.9;74.87;64;1.68;4.75;9.93;9.93;9.93;0;24.12;38.26;30.927;2;19.02;0;-999;-999;208.6767;70.5811;19.03;173.4788;3.8884;
13/09/2019 11:18:59;11:14:46;EQU;0;49.4759;0.1669;49.4758;0.1667;19.19;NaN;14577838;728.82;13309281;0.62;27.91;1033.89;1030.57;-2.33;2.94;73.77;64;1.54;5;9.93;9.93;9.93;0;24.12;38.36;30.932;2;19.02;0;-999;-999;208.5205;70.4225;19.03;173.0859;3.8795;
13/09/2019 11:21:22;11:17:09;EQU;0;49.4758;0.1672;49.4758;0.1667;19.19;NaN;14575979;727.19;13310385;0.61;28.01;1033.87;1030.55;-2.33;2.93;75.21;64;1.45;5;9.93;9.93;9.93;0;24.12;38.36;30.935;2;19.019;0;-999;-999;208.0523;70.2026;19.03;172.5354;3.8672;
13/09/2019 11:23:44;11:19:32;EQU;0;49.4758;0.1669;49.4758;0.1667;19.18;NaN;14574824;727.19;13310165;0.6;28.1;1033.83;1030.53;-2.38;2.92;74.15;64;1.5;4.75;9.93;9.93;9.93;0;24.12;38.46;30.938;2;19.019;0;-999;-999;207.3943;70.051;19.03;172.1528;3.8586;
13/09/2019 11:26:07;11:21:54;EQU;0;49.4755;0.1668;49.4758;0.1666;19.19;NaN;14572152;724.56;13308305;0.59;28.19;1033.83;1030.52;-2.15;2.93;76.51;65;1.19;4.75;9.93;9.93;9.93;0;24.19;38.36;30.929;2;19.025;0;-999;-999;206.9216;69.9583;19.0519;171.9223;3.8535;
13/09/2019 11:28:30;11:24:17;EQU;0;49.4758;0.1668;49.4757;0.1665;19.19;NaN;14575214;726.09;13307372;0.59;28.28;1033.85;1030.56;-2.21;2.92;78.37;65;1.44;4.69;9.93;9.93;9.93;0;24.12;38.26;30.919;2;19.03;0;-999;-999;206.6308;69.7698;19.0948;167.3277;3.7505;
13/09/2019 11:30:53;11:26:40;EQU;0;49.4758;0.1667;49.4758;0.1666;19.18;NaN;14576160;727.3;13307119;0.58;28.36;1033.89;1030.59;-2.31;2.91;77.78;65;1.46;4.75;9.93;9.93;9.93;0;24.19;38.36;35;9;19.036;0;-999;-999;206.0568;69.4699;19.1416;166.5446;3.7329;
13/09/2019 11:33:15;11:29:03;EQU;0;49.4757;0.1666;49.4758;0.1667;19.19;NaN;14579971;730.86;13307880;0.58;28.43;1033.86;1030.59;-2.32;2.91;78.23;65;1.5;4.81;9.93;9.93;9.93;0;24.12;38.36;35;9;19.055;0;-999;-999;205.0865;69.1893;19.1937;165.7836;3.7159;
13/09/2019 11:35:38;11:31:25;EQU;0;49.4758;0.1668;49.4757;0.1667;19.22;NaN;14576746;728.55;13306975;0.58;28.51;1033.87;1030.6;-2.12;2.3;77.1;65;1.62;4.94;9.93;9.93;9.93;0;24.19;38.36;35;9;19.084;0;-999;-999;204.1401;68.9324;19.2476;165.0787;3.7001;
13/09/2019 11:38:01;11:33:48;EQU-DRAIN;0;49.476;0.1668;49.4757;0.1667;19.69;NaN;14547486;701.02;13307775;0.58;28.58;1033.87;1030.59;-2.73;0.01;77.1;65;1.58;4.87;9.93;9.93;9.93;0;24.19;38.36;35;9;19.113;0;-999;-999;203.2631;-999;19.3048;-999;-999;
13/09/2019 11:40:43;11:36:30;EQU;0;49.4757;0.1666;NaN;NaN;20.12;NaN;14521451;682.07;13307252;0.58;28.63;1033.83;1030.55;-2.67;0.01;77.24;65;1.42;4.87;9.93;9.93;9.93;0;24.19;38.36;35;9;-999;9;-999;-999;-999;-999;-999;-999;-999;

